x0,x1,x2,t
16.8563,16.8355,37.9628,0.15
16.8561,16.6508,38.1452,0.151
16.8541,16.4631,38.324,0.152
16.8502,16.2726,38.4992,0.153
16.8444,16.0794,38.6706,0.154
16.8367,15.8836,38.8382,0.155
16.8272,15.6853,39.0019,0.156
16.8158,15.4844,39.1617,0.157
16.8025,15.2813,39.3175,0.158
16.7873,15.0758,39.4693,0.159
16.7702,14.8682,39.617,0.16
16.7511,14.6585,39.7606,0.161
16.7302,14.4469,39.9,0.162
16.7074,14.2333,40.0351,0.163
16.6826,14.018,40.166,0.164
16.656,13.801,40.2926,0.165
16.6274,13.5825,40.4149,0.166
16.597,13.3625,40.5329,0.167
16.5646,13.1411,40.6464,0.168
16.5304,12.9185,40.7556,0.169
16.4943,12.6947,40.8603,0.17
16.4563,12.4699,40.9606,0.171
16.4164,12.2441,41.0564,0.172
16.3747,12.0176,41.1478,0.173
16.3311,11.7903,41.2347,0.174
16.2857,11.5623,41.3172,0.175
16.2385,11.3339,41.3952,0.176
16.1894,11.105,41.4687,0.177
16.1386,10.8759,41.5378,0.178
16.086,10.6465,41.6024,0.179
16.0316,10.4171,41.6626,0.18
15.9754,10.1876,41.7183,0.181
15.9176,9.95827,41.7697,0.182
15.858,9.72913,41.8167,0.183
15.7967,9.5003,41.8593,0.184
15.7337,9.27187,41.8976,0.185
15.6691,9.04394,41.9316,0.186
15.6028,8.8166,41.9614,0.187
15.535,8.58994,41.9869,0.188
15.4655,8.36407,42.0082,0.189
15.3945,8.13906,42.0254,0.19
15.322,7.915,42.0385,0.191
15.2479,7.69199,42.0476,0.192
15.1723,7.4701,42.0526,0.193
15.0953,7.24942,42.0536,0.194
15.0168,7.03003,42.0508,0.195
14.937,6.812,42.0441,0.196
14.8557,6.59541,42.0336,0.197
14.7731,6.38034,42.0193,0.198
14.6892,6.16685,42.0014,0.199
14.604,5.95501,41.9798,0.2
14.5175,5.7449,41.9547,0.201
14.4298,5.53656,41.9261,0.202
14.3408,5.33008,41.894,0.203
14.2507,5.1255,41.8586,0.204
14.1595,4.92287,41.8199,0.205
14.0671,4.72227,41.7779,0.206
13.9737,4.52373,41.7328,0.207
13.8792,4.32731,41.6846,0.208
13.7836,4.13305,41.6334,0.209
13.6871,3.941,41.5792,0.21
13.5897,3.7512,41.5221,0.211
13.4913,3.56369,41.4622,0.212
13.392,3.3785,41.3996,0.213
13.2919,3.19568,41.3343,0.214
13.1909,3.01524,41.2664,0.215
13.0892,2.83723,41.196,0.216
12.9866,2.66167,41.1232,0.217
12.8834,2.48858,41.0479,0.218
12.7794,2.31799,40.9704,0.219
12.6748,2.14992,40.8906,0.22
12.5696,1.98438,40.8087,0.221
12.4637,1.8214,40.7247,0.222
12.3573,1.66098,40.6386,0.223
12.2503,1.50314,40.5507,0.224
12.1429,1.34789,40.4608,0.225
12.0349,1.19523,40.3691,0.226
11.9265,1.04517,40.2757,0.227
11.8177,0.89772,40.1807,0.228
11.7085,0.752875,40.084,0.229
11.5989,0.610637,39.9858,0.23
11.4891,0.471003,39.8861,0.231
11.3789,0.333972,39.785,0.232
11.2684,0.199538,39.6826,0.233
11.1577,0.0676938,39.5789,0.234
11.0468,-0.0615683,39.474,0.235
10.9358,-0.188258,39.3679,0.236
10.8245,-0.312386,39.2607,0.237
10.7132,-0.433966,39.1525,0.238
10.6017,-0.55301,39.0433,0.239
10.4901,-0.669535,38.9332,0.24
10.3785,-0.783557,38.8222,0.241
10.2669,-0.895092,38.7105,0.242
10.1553,-1.00416,38.5979,0.243
10.0437,-1.11078,38.4847,0.244
9.93216,-1.21498,38.3707,0.245
9.82069,-1.31676,38.2562,0.246
9.70931,-1.41617,38.1412,0.247
9.59806,-1.51322,38.0256,0.248
9.48694,-1.60793,37.9095,0.249
9.376,-1.70033,37.793,0.25
9.26523,-1.79045,37.6762,0.251
9.15467,-1.87832,37.559,0.252
9.04435,-1.96395,37.4415,0.253
8.93426,-2.04737,37.3238,0.254
8.82445,-2.12863,37.2059,0.255
8.71492,-2.20774,37.0877,0.256
8.60569,-2.28473,36.9695,0.257
8.49678,-2.35963,36.8511,0.258
8.38822,-2.43248,36.7327,0.259
8.28001,-2.5033,36.6142,0.26
8.17218,-2.57212,36.4957,0.261
8.06474,-2.63898,36.3772,0.262
7.9577,-2.7039,36.2588,0.263
7.85108,-2.76691,36.1405,0.264
7.7449,-2.82806,36.0223,0.265
7.63917,-2.88736,35.9042,0.266
7.53391,-2.94486,35.7863,0.267
7.42912,-3.00057,35.6685,0.268
7.32482,-3.05454,35.551,0.269
7.22103,-3.1068,35.4337,0.27
7.11775,-3.15737,35.3167,0.271
7.015,-3.20629,35.1999,0.272
6.91279,-3.25359,35.0834,0.273
6.81112,-3.2993,34.9673,0.274
6.71002,-3.34346,34.8514,0.275
